timestamp,headline,sentiment_score,sentiment,relevant_words,headline_spanish,headline_italian
2023-06-18 18:40:12,These two cruise stocks and this chipmaker led the market higher this week,0.25,Positive,"['These', 'two', 'cruise', 'stocks', 'and', 'this', 'chipmaker', 'led', 'the', 'market', 'higher', 'this', 'week']",Estas dos acciones de cruceros y este fabricante de chips lideraron el mercado al alza esta semana.,Questi due titoli da crociera e questo produttore di chip hanno portato il mercato al rialzo questa settimana
2023-06-18 18:40:12,"Stocks making the biggest moves midday: Virgin Galactic, iRobot, Cava and more",0.5,Positive,"['Stocks', 'making', 'the', 'biggest', 'moves', 'midday', ':', 'Virgin', 'Galactic', ',', 'iRobot', ',', 'Cava', 'and', 'more']","Acciones que realizan los mayores movimientos al mediodía: Virgin Galactic, iRobot, Cava y más","Le azioni che fanno le mosse più importanti a mezzogiorno: Virgin Galactic, iRobot, Cava e altre"
2023-06-18 18:40:12,The reshoring boom is stoking demand for robotics. Here are the stocks poised to benefit,0.0,Neutral,"['The', 'reshoring', 'boom', 'is', 'stoking', 'demand', 'for', 'robotics', '.', 'Here', 'are', 'the', 'stocks', 'poised', 'to', 'benefit']",El auge de la relocalización está alimentando la demanda de robótica. Estas son las acciones que se beneficiarán,Il boom del reshoring sta alimentando la domanda di robotica. Ecco i titoli pronti a trarne vantaggio
2023-06-18 18:40:12,"Today is the day stock options and futures expire, so expect a lot of volume",0.0,Neutral,"['Today', 'is', 'the', 'day', 'stock', 'options', 'and', 'futures', 'expire', ',', 'so', 'expect', 'a', 'lot', 'of', 'volume']","Hoy es el día en que vencen las opciones sobre acciones y los futuros, así que espere mucho volumen","Oggi è il giorno in cui scadono le opzioni su azioni e i futures, quindi aspettati molto volume"
2023-06-18 18:40:12,"Here are Friday's biggest analyst calls: SoFi, AutoZone, Nvidia, Meta and more",0.5,Positive,"['Here', 'are', 'Friday', ""'s"", 'biggest', 'analyst', 'calls', ':', 'SoFi', ',', 'AutoZone', ',', 'Nvidia', ',', 'Meta', 'and', 'more']","Estas son las llamadas de analistas más importantes del viernes: SoFi, AutoZone, Nvidia, Meta y más","Ecco le più grandi chiamate degli analisti di venerdì: SoFi, AutoZone, Nvidia, Meta e altro"
2023-06-18 18:40:12,"Stocks making the biggest premarket moves: Virgin Galactic, Adobe, SoFi, more",0.5,Positive,"['Stocks', 'making', 'the', 'biggest', 'premarket', 'moves', ':', 'Virgin', 'Galactic', ',', 'Adobe', ',', 'SoFi', ',', 'more']","Acciones que realizan los mayores movimientos previos a la comercialización: Virgin Galactic, Adobe, SoFi, más","Le azioni che effettuano le maggiori mosse pre-mercato: Virgin Galactic, Adobe, SoFi e altro ancora"
2023-06-18 18:40:12,"Bank of America downgrades SoFi, says its recent rally has run its course ",0.0,Neutral,"['Bank', 'of', 'America', 'downgrades', 'SoFi', ',', 'says', 'its', 'recent', 'rally', 'has', 'run', 'its', 'course']","Bank of America rebaja la calificación de SoFi, dice que su reciente repunte ha seguido su curso","Bank of America declassa SoFi, afferma che il suo recente rally ha fatto il suo corso"
2023-06-18 18:40:12,Morgan Stanley says Nvidia is the top pick for artificial intelligence over AMD,-0.04999999999999999,Neutral,"['Morgan', 'Stanley', 'says', 'Nvidia', 'is', 'the', 'top', 'pick', 'for', 'artificial', 'intelligence', 'over', 'AMD']",Morgan Stanley dice que Nvidia es la mejor opción para la inteligencia artificial sobre AMD,Morgan Stanley afferma che Nvidia è la scelta migliore per l'intelligenza artificiale rispetto ad AMD
2023-06-18 18:40:12,Blinken lands in Beijing for high-stakes diplomacy after spy balloon saga,0.0,Neutral,"['Blinken', 'lands', 'in', 'Beijing', 'for', 'high-stakes', 'diplomacy', 'after', 'spy', 'balloon', 'saga']",Blinken aterriza en Beijing para una diplomacia de alto riesgo después de la saga del globo espía,Blinken sbarca a Pechino per una diplomazia ad alto rischio dopo la saga del pallone spia
2023-06-18 18:40:12,China's VCs look to the Middle East for a U.S. dollar lifeline,0.0,Neutral,"['China', ""'s"", 'VCs', 'look', 'to', 'the', 'Middle', 'East', 'for', 'a', 'U.S.', 'dollar', 'lifeline']",Los capitalistas de riesgo de China buscan en Oriente Medio un salvavidas en dólares estadounidenses,I VC cinesi guardano al Medio Oriente per un'ancora di salvezza in dollari USA
2023-06-18 18:40:12,Cramer explains how four different camps of buyers see Fed mixed messages ,0.0,Neutral,"['Cramer', 'explains', 'how', 'four', 'different', 'camps', 'of', 'buyers', 'see', 'Fed', 'mixed', 'messages']",Cramer explica cómo cuatro campos diferentes de compradores ven mensajes mixtos de la Fed,Cramer spiega come quattro diversi campi di acquirenti vedano messaggi contrastanti della Fed
2023-06-18 18:40:12,"Adobe CEO says A.I. will won't replace human ingenuity, it'll augment it",0.0,Neutral,"['Adobe', 'CEO', 'says', 'A.I', '.', 'will', 'wo', ""n't"", 'replace', 'human', 'ingenuity', ',', 'it', ""'ll"", 'augment', 'it']","El CEO de Adobe dice que la I.A. no reemplazará el ingenio humano, lo aumentará","Il CEO di Adobe afferma che A.I. non sostituirà l'ingegno umano, lo aumenterà"
2023-06-18 18:40:12,Cramer's Lightning Round: Microsoft is a winner,-0.2,Neutral,"['Cramer', ""'s"", 'Lightning', 'Round', ':', 'Microsoft', 'is', 'a', 'winner']",Lightning Round de Cramer: Microsoft es un ganador,Cramer's Lightning Round: Microsoft è un vincitore
2023-06-18 18:40:12,Tesla snaps 13-day record-winning streak. Here's what the pros are saying,0.0,Neutral,"['Tesla', 'snaps', '13-day', 'record-winning', 'streak', '.', 'Here', ""'s"", 'what', 'the', 'pros', 'are', 'saying']",Tesla rompe una racha ganadora récord de 13 días. Esto es lo que dicen los profesionales,Tesla ottiene una serie di vittorie record di 13 giorni. Ecco cosa dicono i professionisti
2023-06-18 18:40:12,"Tesla, Boeing and more: CNBC's 'Halftime Report' answers your questions",0.5,Positive,"['Tesla', ',', 'Boeing', 'and', 'more', ':', 'CNBC', ""'s"", ""'Halftime"", 'Report', ""'"", 'answers', 'your', 'questions']","Tesla, Boeing y más: el 'Informe de medio tiempo' de CNBC responde a sus preguntas","Tesla, Boeing e altro ancora: l'""Halftime Report"" della CNBC risponde alle tue domande"
2023-06-18 18:40:12,These stocks left behind by the bull are finally starting to catch up,-0.13333333333333333,Neutral,"['These', 'stocks', 'left', 'behind', 'by', 'the', 'bull', 'are', 'finally', 'starting', 'to', 'catch', 'up']",Estas acciones dejadas por el toro finalmente están comenzando a ponerse al día,Questi titoli lasciati indietro dal toro stanno finalmente iniziando a recuperare terreno
2023-06-18 18:40:12,"Stocks making the biggest moves midday: Cava, Domino's Pizza, Kroger and more",0.5,Positive,"['Stocks', 'making', 'the', 'biggest', 'moves', 'midday', ':', 'Cava', ',', 'Domino', ""'s"", 'Pizza', ',', 'Kroger', 'and', 'more']","Acciones que hacen los mayores movimientos al mediodía: Cava, Domino's Pizza, Kroger y más","Azioni che fanno le mosse più grandi a mezzogiorno: Cava, Domino's Pizza, Kroger e altro"
2023-06-18 18:40:12,"This regional bank is a 'compelling value,' Piper Sandler says",0.3,Positive,"['This', 'regional', 'bank', 'is', 'a', ""'compelling"", 'value', ',', ""'"", 'Piper', 'Sandler', 'says']","Este banco regional es un 'valor convincente', dice Piper Sandler","Questa banca regionale è un ""valore irresistibile"", afferma Piper Sandler"
2023-06-18 18:40:12,Goldman names three stocks to buy because of generative A.I.,0.0,Neutral,"['Goldman', 'names', 'three', 'stocks', 'to', 'buy', 'because', 'of', 'generative', 'A.I', '.']",Goldman nombra tres acciones para comprar debido a la IA generativa.,Goldman nomina tre azioni da acquistare a causa dell'IA generativa
2023-06-18 18:40:12,Bank of America says keep buying Nvidia shares for two main reasons ,0.16666666666666666,Neutral,"['Bank', 'of', 'America', 'says', 'keep', 'buying', 'Nvidia', 'shares', 'for', 'two', 'main', 'reasons']",Bank of America dice seguir comprando acciones de Nvidia por dos razones principales,Bank of America afferma di continuare ad acquistare azioni Nvidia per due motivi principali
2023-06-18 18:40:12,What's next for stocks partly depends on how much you believe the Fed,0.1,Neutral,"['What', ""'s"", 'next', 'for', 'stocks', 'partly', 'depends', 'on', 'how', 'much', 'you', 'believe', 'the', 'Fed']",Lo que sigue para las acciones depende en parte de cuánto le creas a la Fed,Il futuro delle azioni dipende in parte da quanto credi alla Fed
2023-06-18 18:40:12,"Stocks making the biggest moves before the bell: American Express, Domino's",0.0,Neutral,"['Stocks', 'making', 'the', 'biggest', 'moves', 'before', 'the', 'bell', ':', 'American', 'Express', ',', 'Domino', ""'s""]","Las acciones realizan los mayores movimientos antes de la campana: American Express, Domino's","Le azioni che fanno le mosse più importanti prima della campanella: American Express, Domino's"
2023-06-18 18:40:12,Citi says shares of this glassmaker can rally 20% as margins recover,0.0,Neutral,"['Citi', 'says', 'shares', 'of', 'this', 'glassmaker', 'can', 'rally', '20', '%', 'as', 'margins', 'recover']",Citi dice que las acciones de este fabricante de vidrio pueden subir un 20% a medida que se recuperan los márgenes,Citi afferma che le azioni di questo produttore di vetro possono aumentare del 20% con il recupero dei margini
2023-06-18 18:40:12,Morgan Stanley reinstates this mobile carrier as a top pick,0.5,Positive,"['Morgan', 'Stanley', 'reinstates', 'this', 'mobile', 'carrier', 'as', 'a', 'top', 'pick']",Morgan Stanley restablece este operador de telefonía móvil como una de las mejores opciones,Morgan Stanley ripristina questo operatore di telefonia mobile come una delle migliori scelte
2023-06-18 18:40:12,"Domino's Pizza is a buy as new initiatives take effect, Stifel says",0.13636363636363635,Neutral,"['Domino', ""'s"", 'Pizza', 'is', 'a', 'buy', 'as', 'new', 'initiatives', 'take', 'effect', ',', 'Stifel', 'says']","Domino's Pizza es una compra a medida que entran en vigor nuevas iniciativas, dice Stifel","Domino's Pizza è un acquisto man mano che le nuove iniziative entrano in vigore, afferma Stifel"
